Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,RL,0,0,0,0,9820000000.0,8730000000.0,23.35,16.5,1.49,1.55,2.93,1.38,8.87,6.95,11.22,7.23,13.03,6340000000.0,77.99,5.1,3760000000.0,984400000.0,440600000.0,5.35,,2060000000.0,26.24,934600000.0,27.87,2.9,42.67,707100000.0,362760000.0,0.94,119.51,121.25,1090000.0,52740000.0,52030000.0,0.61,102.29,4960000.0,4.26,11.83,3820000.0
0,0,EOG,0,0,0,0,55380000000.0,60690000000.0,16.21,15.53,0.27,3.21,2.86,3.52,7.52,19.8,25.16,8.52,19.18,17270000000.0,29.95,26.4,9590000000.0,8070000000.0,3420000000.0,5.89,-63.3,1560000000.0,2.68,6080000000.0,31.42,1.36,33.38,7770000000.0,-240920000.0,1.46,97.08,106.33,3680000.0,579900000.0,577480000.0,0.49,89.36,11470000.0,4.02,1.99,13380000.0
0,0,ACI,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.07,2555.63,,,,,,,,,
0,0,CSX,0,0,0,0,59100000000.0,73070000000.0,18.87,15.22,1.46,4.82,4.72,5.97,11.85,27.01,39.47,8.34,24.24,12250000000.0,14.29,9.8,6170000000.0,6170000000.0,3310000000.0,3.84,-79.6,1110000000.0,1.36,14760000000.0,117.31,1.34,15.35,4640000000.0,2320000000.0,1.28,68.94,69.79,5460000.0,815630000.0,814680000.0,0.25,78.41,13670000.0,2.38,1.84,15640000.0
0,0,ATVI,0,0,0,0,31960000000.0,30220000000.0,17.82,16.23,2.61,4.26,2.82,4.03,12.05,24.17,26.64,6.84,17.42,7500000000.0,9.84,16.5,4980000000.0,2510000000.0,1810000000.0,2.35,,4380000000.0,5.73,2670000000.0,23.52,2.31,14.88,1790000000.0,1240000000.0,0.82,44.77,58.93,13310000.0,763050000.0,755680000.0,1.15,91.54,13800000.0,0.84,2.11,16790000.0
0,0,PEP,0,0,0,0,162990000000.0,186590000000.0,13.21,19.5,4.33,2.52,11.26,2.89,14.56,19.35,16.43,8.44,98.18,64660000000.0,45.7,-0.0,35280000000.0,12820000000.0,12510000000.0,8.78,,8990000000.0,6.4,32320000000.0,221.35,0.99,10.3,9420000000.0,6790000000.0,0.58,112.69,112.63,5380000.0,1400000000.0,1400000000.0,0.21,73.86,7860000.0,1.55,0.56,8189999.999999999
0,0,AIV,0,0,0,0,7610000000.0,12200000000.0,11.39,176.57,23.21,7.89,4.54,12.64,20.64,69.01,22.35,2.2,39.57,965420000.0,6.39,-7.3,636600000.0,591240000.0,656600000.0,4.34,-97.2,36860000.0,0.25,4080000000.0,218.54,0.79,10.89,396390000.0,37350000.0,0.89,48.63,45.44,1530000.0,144270000.0,143110000.0,1.04,100.93,2650000.0,2.09,2.49,2089999.9999999998
0,0,TSS,0,0,0,0,16579999999.999998,20120000000.0,29.84,16.92,1.54,4.12,6.54,4.99,17.92,14.32,20.83,7.6,23.39,4030000000.0000005,22.14,-20.0,1540000000.0,1120000000.0,576660000.0,3.14,-43.7,471160000.0,2.66,3920000000.0,151.54,2.21,14.32,1040000000.0,669760000.0,1.03,90.64,90.65,1440000.0,176920000.0,174250000.0,1.69,83.43,2310000.0,1.44,1.29,3380000.0
0,0,WEC,0,0,0,0,24050000000.0,35830000000.0,22.83,20.33,4.72,3.13,2.46,4.66,15.31,13.79,19.46,2.87,10.96,7680000000.0,24.34,1.1,2510000000.0,2340000000.0,1060000000.0,3.34,-52.6,84500000.0,0.27,11800000000.0,119.9,0.68,31.02,2450000000.0,-623640000.0,0.37,73.36,70.35,1760000.0,315460000.0,314760000.0,0.18,77.47,10580000.0,6.11,3.76,9690000.0
0,0,IBM,0,0,0,0,123060000000.0,157200000000.0,14.48,9.73,10.32,1.55,7.33,1.98,9.41,10.97,15.37,6.15,50.34,79590000000.0,87.27,-3.5,36940000000.0,16710000000.0,8720000000.0,9.52,,12010000000.0,13.49,45890000000.0,271.07,1.29,18.82,15250000000.0,5870000000.0,1.73,133.74,132.05,4980000.0,892480000.0,889100000.0,0.11,57.18,13650000.0,2.56,,13090000.0
0,0,TDC,0,0,0,0,5670000000.0,5490000000.0,193.2,23.79,2.85,2.62,11.4,2.54,44.6,1.39,2.22,1.22,5.16,2160000000.0,18.15,-6.1,1140000000.0,123000000.0,30000000.0,0.25,,715000000.0,6.09,544000000.0,109.9,1.41,4.24,364000000.0,209250000.0,0.93,45.46,39.65,1250000.0,117300000.0,116020000.0,0.01,26.7,9690000.0,6.89,9.29,11370000.0
0,0,SNE,0,0,0,0,61500000000.0,60800000000.0,10.02,12.19,1.0,,1.98,,,9.57,0.0,2.27,21.02,,,-10.1,,,,4.76,45.0,,,,31.23,0.86,24.08,,,1.27,47.37,52.21,1260000.0,1270000000.0,1250000000.0,0.0,7.72,1100000.0,1.0,,1230000.0
0,0,BBY,0,0,0,0,17980000000.0,17380000000.0,12.85,11.21,1.33,0.42,5.44,0.41,6.37,3.41,4.57,9.44,42.32,42880000000.0,155.13,-3.7,9960000000.0,2730000000.0,1460000000.0,5.2,101.9,1980000000.0,7.36,1390000000.0,41.98,1.18,12.29,2410000000.0,1080000000.0,1.31,60.05,66.48,3860000.0,269100000.0,232050000.0,14.68,86.21,13700000.0,5.23,6.49,16680000.0
0,0,ZNGA,0,0,0,0,4770000000.0,4290000000.0,286.11,19.07,0.83,5.25,2.78,4.72,75.15,1.7,1.65,0.45,0.95,907210000.0,1.05,6.6,602550000.0,57030000.0,15460000.0,0.02,-95.7,581220000.0,0.63,100000000.0,6.26,1.56,1.85,168240000.0,191730000.0,0.56,4.71,4.08,14360000.0,925680000.0,855440000.0,9.04,79.58,56550000.0,3.6,7.27,70210000.0
0,0,PBCT,0,0,0,0,6570000000.0,10580000000.0,13.73,11.65,0.92,4.18,1.04,6.74,,29.79,41.09,1.01,7.58,1570000000.0,4.51,10.6,1570000000.0,,453800000.0,1.29,25.1,919300000.0,2.48,4680000000.0,,,16.95,589300000.0,,1.41,16.9,16.58,4120000.0,371250000.0,368340000.0,0.69,79.61,26390000.0,5.72,10.05,20640000.0
0,0,ACN,0,0,0,0,104330000000.0,100370000000.0,25.14,20.77,2.61,2.59,8.23,2.49,15.28,10.45,14.85,15.06,37.63,40290000000.0,63.53,7.3,12440000000.0,6570000000.0,4210000000.0,6.51,13.4,4370000000.0,6.85,24620000.0,0.19,1.33,19.89,6050000000.0,4840000000.0,1.25,155.48,159.2,2240000.0,637450000.0,636100000.0,0.24,76.27,5060000.0,2.61,0.8,5740000.0
0,0,EXPE,0,0,0,0,18540000000.0,21360000000.0,47.54,15.59,1.29,1.65,4.52,1.9,16.92,3.62,6.98,2.68,6.73,11220000000.0,74.84,10.3,9260000000.0,1260000000.0,406000000.0,2.65,-69.1,2470000000.0,16.79,3720000000.0,65.43,0.64,27.89,1980000000.0,834630000.0,0.67,123.03,122.51,1580000.0,134390000.0,108990000.0,12.98,89.15,10420000.0,6.13,8.67,9500000.0
0,0,FRX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,AMGN,0,0,0,0,117500000000.0,122120000000.0,14.96,12.64,6.75,4.95,9.51,5.14,9.77,35.35,44.43,9.01,44.48,23750000000.0,35.93,7.4,19650000000.0,12500000000.0,8390000000.000001,12.62,,29300000000.0,47.09,33930000000.0,271.43,2.79,19.85,11300000000.0,7930000000.0,0.95,191.48,195.65,3150000.0,622280000.0,621360000.0,0.21,81.07,10570000.0,3.15,1.58,10180000.0
0,0,NLY,0,0,0,0,14140000000.0,105140000000.0,,8.42,-20.88,31.93,1.08,237.42,,12.29,36.2,0.05,0.37,442860000.0,0.37,,442860000.0,,-74900000.0,-0.06,,1000000000.0,0.72,90050000000.0,637.83,0.14,9.39,2620000000.0,,0.12,10.26,10.16,16140000.0,1400000000.0,1400000000.0,0.27,55.52,56430000.0,4.13,4.88,28640000.0
0,0,NRG,0,0,0,0,12100000000.0,18570000000.0,48.14,10.51,0.27,1.28,,1.96,10.98,2.83,12.02,4.19,110.71,9480000000.0,31.18,-7.9,2370000000.0,1690000000.0,460000000.0,0.87,,580000000.0,2.06,6520000000.0,,1.5,-4.35,1380000000.0,479000000.0,0.5,41.35,38.43,3940000.0,289930000.0,279610000.0,0.81,101.65,11370000.0,3.55,4.03,12090000.0
0,0,SEE,0,0,0,0,6990000000.0,10090000000.0,37.24,14.68,1.06,1.48,,2.13,11.73,4.08,15.4,8.82,,4730000000.0,29.69,2.6,1500000000.0,860100000.0,149400000.0,1.21,,271700000.0,1.75,3470000000.0,,1.04,-2.24,428000000.0,216940000.0,1.07,40.76,37.64,2029999.9999999998,155630000.0,153530000.0,1.48,102.06,10450000.0,5.21,7.13,9630000.0
0,0,SLM,0,0,0,0,4770000000.0,7010000000.0,10.22,7.6,0.38,4.27,1.85,6.28,,43.67,50.1,2.01,17.9,1120000000.0,2.57,45.7,1120000000.0,,471840000.0,1.07,213.8,2560000000.0,5.86,4280000000.0000005,144.15,1.39,5.91,-102740000.0,,2.01,10.67,10.45,3720000.0,435700000.0,395360000.0,0.49,104.19,27530000.0,6.21,7.06,29320000.0
0,0,VZ,0,0,0,0,231730000000.0,345150000000.0,14.91,11.73,1.27,1.77,4.36,2.64,6.56,11.87,26.9,8.43,32.27,130860000000.00002,31.7,1.0,75660000000.0,52610000000.0,15530000000.0,3.76,-89.6,2740000000.0,0.66,113940000000.0,208.26,0.91,12.86,34340000000.000004,16100000000.000002,0.51,55.69,55.95,16570000.0,4130000000.0,4130000000.0,0.03,68.38,27610000.0,1.7,0.67,37600000.0
0,0,DIS,0,0,0,0,169950000000.0,191850000000.0,15.62,15.86,4.46,2.86,3.4,3.23,10.99,18.46,24.35,9.15,21.94,59390000000.0,39.76,-0.3,26710000000.0,17460000000.0,10960000000.0,7.3,-37.0,4460000000.0,2.99,20660000000.0,37.22,1.0,33.54,14160000000.0,7090000000.0,0.52,111.86,112.63,7880000.0,1490000000.0,1490000000.0,0.14,65.98,27030000.0,3.43,1.82,28360000.0
0,0,AA,0,0,0,0,5420000000.0,8160000000.0,24.33,9.54,3.95,0.4,1.0,0.61,2.94,1.69,15.26,7.66,12.27,13400000000.0,72.06,5.4,3320000000.0,2780000000.0,227000000.0,1.2,,1110000000.0,6.0,1800000000.0,24.37,1.42,29.17,448000000.0,1110000000.0,1.4,28.97,34.09,3900000.0,185500000.0,184960000.0,6.07,0.0,5070000.0,1.05,2.72,4940000.0
0,0,AVP,0,0,0,0,1300000000.0,2840000000.0,,14.7,3.27,0.23,,0.51,5.7,-0.35,7.57,7.86,,5570000000.0,12.61,-10.7,3300000000.0,497800000.0,-43600000.0,-0.1,,532700000.00000006,1.2,1590000000.0,,1.18,-2.05,92700000.0,274000000.0,2.13,2.4941,2.0908,6940000.0,442430000.0,433170000.0,0.44,79.15,9820000.0,1.16,2.54,11150000.0
0,0,FE,0,0,0,0,21430000000.0,40810000000.0,20.31,16.04,-2.39,1.9,3.07,3.62,10.41,11.97,21.19,3.62,19.03,11260000000.0,22.89,1.0,7760000000.0,3920000000.0,655000000.0,1.99,,367000000.0,0.69,19500000000.0,286.23,0.52,13.17,1410000000.0,-219380000.0,0.36,39.37,38.11,5400000.0,530150000.0,499330000.0,4.24,0.0,26160000.0,5.04,7.61,29560000.0
0,0,WMT,0,0,0,0,285700000000.0,342240000000.0,43.51,19.59,5.82,0.56,3.93,0.67,10.49,1.3,4.27,6.48,8.95,514409999999.99994,175.62,1.9,129100000000.0,32640000000.0,6670000000.0,2.26,69.5,7720000000.0,2.67,58030000000.0,72.88,0.8,25.03,27750000000.0,12110000000.0,0.64,97.39,96.26,8540000.0,2910000000.0,1420000000.0,52.83,30.02,17100000.0,2.31,1.2,16500000.0
0,0,TEG,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,LMT,0,0,0,0,86400000000.0,99310000000.0,17.38,12.7,1.3,1.61,61.63,1.85,11.97,9.39,13.47,9.9,1499.55,53760000000.0,188.97,,7370000000.0,8300000000.000001,5050000000.0,17.59,,772000000.0,2.75,14100000000.0,973.36,1.12,4.96,3140000000.0,4210000000.0,1.32,295.83,305.29,1420000.0,282560000.0,236310000.0,0.09,78.79,2840000.0,2.2,1.19,2270000.0
0,0,MAR,0,0,0,0,42720000000.0,51130000000.0,23.28,17.76,1.1,8.19,19.09,9.8,17.7,36.57,48.34,6.63,65.68,5220000000.0,14.9,1.2,19450000000.0,2890000000.0,1910000000.0,5.38,264.9,316000000.0,0.93,9350000000.0,420.09,0.42,6.56,2360000000.0,1520000000.0,1.09,116.93,117.78,2130000.0,341130000.0,271750000.0,18.23,67.83,6310000.0,3.53,,7100000.0
0,0,ZMH,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,MCD,0,0,0,0,138790000000.0,168430000000.0,24.05,20.58,3.4,6.6,,8.01,16.74,28.18,40.8,16.1,,21030000000.0,27.02,-3.3,10790000000.0,10060000000.0,5920000000.0,7.54,102.6,866000000.0,1.13,31090000000.0,,1.36,-8.16,6970000000.0,3370000000.0,0.4,180.42,175.0,3860000.0,765320000.0,764880000.0,0.06,70.0,4840000.0,1.06,0.62,6350000.0
0,0,PLD,0,0,0,0,45130000000.0,59010000000.0,24.52,47.53,-8.25,14.54,1.99,19.02,28.2,53.16,36.91,2.11,8.19,3100000000.0,5.47,32.6,2350000000.0,2089999999.9999998,1640000000.0,2.87,98.8,343880000.0,0.55,11090000000.0,42.98,1.44,35.31,1800000000.0,1410000000.0,1.19,68.58,65.89,2810000.0,630350000.0,628140000.0,0.68,97.82,6100000.0,2.23,1.54,6160000.0
0,0,BMS,0,0,0,0,4820000000.0,6120000000.0,21.41,16.68,2.09,1.18,3.96,1.5,10.71,5.52,9.87,6.94,18.67,4090000000.0,44.94,-0.1,805100000.0,571200000.0,225700000.0,2.47,,76100000.0,0.83,1360000000.0,112.12,1.76,13.36,461500000.0,300390000.0,0.74,50.41,48.16,91170000.0,91170000.0,90240000.0,0.98,74.49,3890000.0,7.02,4.31,4400000.0
0,0,NOK,0,0,0,0,34390000000.0,34009999999.999996,,13.69,0.86,,1.97,,,-1.51,0.0,1.76,-3.48,,,3.3,8449999999.999999,,,-0.19,,,,,24.86,1.29,3.12,,,-0.09,6.18,5.75,27510000.0,5590000000.0,5550000000.0,0.0,6.98,38470000.0,1.67,,34510000.0
0,0,DELL,0,0,0,0,39600000000.0,91020000000.0,,8.25,0.7,0.44,,1.0,11.72,-2.55,0.02,0.01,-31.06,90620000000.0,118.0,8.7,25050000000.0,7770000000.0,-2310000000.0,-3.01,,9680000000.0,12.59,53520000000.0,,0.74,-7.51,6990000000.0,1430000000.0,,50.54,52.5,3630000.0,171910000.0,181170000.0,0.05,86.6,5750000.0,1.96,,6840000.0
0,0,DNB,0,0,0,0,,,0.0,,,,,,,,,,,,,,1170000000.0,,,,,,,,,,,,,,144.6738,143.1307,,,,,,,,,
0,0,CLF,0,0,0,0,3070000000.0,4420000000.0,2.83,7.39,-2.23,1.32,7.24,1.9,5.68,48.37,29.55,13.29,,2330000000.0,7.85,36.0,809600000.0,778200000.0,1040000000.0,3.71,96.7,823200000.0,2.81,2089999999.9999998,493.38,3.16,1.45,495500000.0,90340000.0,2.87,10.46,10.24,10190000.0,292610000.0,288950000.0,0.76,74.25,56830000.0,4.25,19.28,48540000.0
0,0,TSO,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
